Ensembl_ID,Change,Gene_Name,Gene_Biotype,Chr,Length,Exon Length,Downstream_Promoter_Downregulated,Upstream_Promoter_Downregulated,Gene_Body_Downregulated,TSS_Downregulated,Downstream_Promoter_Nondifferential,Upstream_Promoter_Nondifferential,Gene_Body_Nondifferential,TSS_Nondifferential,Downstream_Promoter_Upregulated,Upstream_Promoter_Upregulated,Gene_Body_Upregulated,TSS_Upregulated
ENSRNOG00000000001,Nondifferential,AABR07013255.1,pseudogene,2,1421,1416,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000008,Upregulated,Alx4,protein_coding,3,36573,1747,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,0.0
ENSRNOG00000000017,Nondifferential,Steap1,protein_coding,4,10589,1280,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000021,Nondifferential,AABR07061902.1,pseudogene,4,1202,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000024,Nondifferential,Hebp1,protein_coding,4,29515,1062,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
ENSRNOG00000000033,Upregulated,Tmcc2,protein_coding,13,37252,3681,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,8.0,0.0
ENSRNOG00000000040,Upregulated,RGD1304622,protein_coding,13,29752,4131,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0
ENSRNOG00000000042,Downregulated,Xpr1,protein_coding,13,138276,2452,0.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0
ENSRNOG00000000043,Nondifferential,Idua,protein_coding,14,14352,2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000044,Nondifferential,Tmem175,protein_coding,14,16294,2259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000047,Nondifferential,Cd82,protein_coding,3,44004,1810,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,11.0,0.0
ENSRNOG00000000048,Nondifferential,Gak,protein_coding,14,74213,4453,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0
ENSRNOG00000000054,Nondifferential,Abhd8,protein_coding,16,6753,1997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000062,Nondifferential,Pcgf3,protein_coding,14,49348,1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
ENSRNOG00000000064,Downregulated,Atp5i,protein_coding,14,1129,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000066,Nondifferential,Fbxo28,protein_coding,13,25469,1497,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
ENSRNOG00000000068,Nondifferential,Ppp2r5a,protein_coding,13,44397,2596,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0
ENSRNOG00000000073,Nondifferential,Tmed5,protein_coding,14,20545,921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000075,Nondifferential,Mtf2,protein_coding,14,42711,2549,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
