Gene_ID,Change,Gene_Name,Gene_Biotype,Chr,Length,Exon Length,Gene_Body_Downregulated,Upstream_Promoter_Downregulated,Downstream_Promoter_Downregulated,TSS_Downregulated,Gene_Body_Nondifferential,Upstream_Promoter_Nondifferential,Downstream_Promoter_Nondifferential,TSS_Nondifferential,Gene_Body_Upregulated,Upstream_Promoter_Upregulated,Downstream_Promoter_Upregulated,TSS_Upregulated
ENSRNOG00000000001,Nondifferential,AABR07013255.1,pseudogene,2,1421,1416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000010,Downregulated,Cbln1,protein_coding,19,3810,2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000017,Downregulated,Steap1,protein_coding,4,10589,1280,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000021,Nondifferential,AABR07061902.1,pseudogene,4,1202,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000024,Downregulated,Hebp1,protein_coding,4,29515,1062,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000033,Nondifferential,Tmcc2,protein_coding,13,37252,3681,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ENSRNOG00000000034,Downregulated,Nuak2,protein_coding,13,16745,2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000040,Downregulated,RGD1304622,protein_coding,13,29752,4131,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0
ENSRNOG00000000042,Downregulated,Xpr1,protein_coding,13,138276,2452,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
ENSRNOG00000000043,Nondifferential,Idua,protein_coding,14,14352,2582,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000044,Upregulated,Tmem175,protein_coding,14,16294,2259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000047,Downregulated,Cd82,protein_coding,3,44004,1810,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
ENSRNOG00000000048,Nondifferential,Gak,protein_coding,14,74213,4453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
ENSRNOG00000000054,Nondifferential,Abhd8,protein_coding,16,6753,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000062,Nondifferential,Pcgf3,protein_coding,14,49348,1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000064,Upregulated,Atp5i,protein_coding,14,1129,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000066,Nondifferential,Fbxo28,protein_coding,13,25469,1497,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ENSRNOG00000000068,Downregulated,Ppp2r5a,protein_coding,13,44397,2596,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000073,Upregulated,Tmed5,protein_coding,14,20545,921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000075,Upregulated,Mtf2,protein_coding,14,42711,2549,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000081,Downregulated,Antxr2,protein_coding,14,82632,1467,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000082,Downregulated,Hltf,protein_coding,2,59602,4775,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000095,Nondifferential,Gpr89b,protein_coding,2,38757,1786,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000098,Nondifferential,Rnf115,protein_coding,2,67496,2095,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000104,Upregulated,Thoc3,protein_coding,17,9192,2115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000105,Downregulated,Cplx2,protein_coding,17,62551,2275,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0
ENSRNOG00000000108,Upregulated,Aga,protein_coding,16,11858,1182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000111,Upregulated,Coprs,protein_coding,16,5111,552,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000112,Nondifferential,Champ1,protein_coding,16,10967,3977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000113,Upregulated,Elac1,protein_coding,18,17348,2836,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000121,Downregulated,Pigv,protein_coding,5,11887,2409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ENSRNOG00000000122,Upregulated,Ak2,protein_coding,5,18577,1685,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000123,Downregulated,Rnf19b,protein_coding,5,24921,2395,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000127,Nondifferential,Kpna6,protein_coding,5,36341,4657,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000130,Upregulated,Dnajb5,protein_coding,5,8242,2924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
ENSRNOG00000000133,Nondifferential,Txndc15,protein_coding,17,12352,1521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000138,Downregulated,Glis1,protein_coding,5,72584,2127,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
ENSRNOG00000000142,Downregulated,Plxdc2,protein_coding,17,388446,2735,7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0
ENSRNOG00000000145,Nondifferential,Pik3r3,protein_coding,5,68192,2046,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ENSRNOG00000000150,Downregulated,Dnajc1,protein_coding,17,154220,1868,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ENSRNOG00000000151,Downregulated,Ldlrap1,protein_coding,5,20621,921,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ENSRNOG00000000155,Nondifferential,Cog3,protein_coding,15,49996,2848,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000156,Upregulated,LOC100911486,protein_coding,5,142381,5213,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0
ENSRNOG00000000157,Nondifferential,Atg12,protein_coding,18,10327,2566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000158,Nondifferential,Cdo1,protein_coding,18,14703,1516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000161,Downregulated,Chm,protein_coding,X,154876,3473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000164,Downregulated,Lamp2,protein_coding,X,43417,1747,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000165,Downregulated,Pfkfb1,protein_coding,X,47536,1830,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000166,Downregulated,Apex2,protein_coding,X,20591,1847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000168,Upregulated,Gatm,protein_coding,3,16849,2528,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000169,Upregulated,Spata5l1,protein_coding,3,13000,2499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000170,Nondifferential,Slc30a4,protein_coding,3,22233,5408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000172,Downregulated,Sqrdl,protein_coding,3,39028,1594,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000175,Nondifferential,Mier2,protein_coding,7,15850,2986,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
ENSRNOG00000000177,Upregulated,Plpp2,protein_coding,7,8085,1610,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000185,Nondifferential,Mpst,protein_coding,7,4789,1217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000186,Nondifferential,Tst,protein_coding,7,6749,1093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000190,Downregulated,Ep300,protein_coding,7,42322,2584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000204,Nondifferential,Syncrip,protein_coding,8,98653,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000219,Downregulated,Ano10,protein_coding,8,117777,2395,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ENSRNOG00000000221,Nondifferential,Abhd5,protein_coding,8,28258,3033,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000230,Nondifferential,Lmf1,protein_coding,10,86678,2158,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
